Shop,Country,Manufacturer,Model,Assembled,Build envelope(W x D x H mm),Image,Technology,Price(US$),Lead time
Hardcotton,Australia,Hardcotton,Hardcotton SLA  3D  printer,Yes,140x140x200,,SLA,$ 950.00,-
Flashforge,China,Flashforge,Creator,Yes,225X145X150,,FFF,$ 977.00,2-4 days
PEARL,Germany,PEARL,FreeSculpt 3D-Drucker EX1-Plus,Yes,225x145x150,,FFF,$ 998.00,14 days
Tinkerine Studio,Canada,Tinkerine Studio,Litto 3D printer,DIY kit,135x120x175,,FFF,$ 999.00,2-4 weeks
Solidoodle,USA,Solidoodle,Solidoodle G4,Yes,203x203x203,,FFF,$ 999.00,In Stock
mUVe 3D LLC,USA,mUVe ,mUVe 1 DLP,DIY kit,128X128X80,,DLP,$ 999.00,3-4 weeks
3D Systems,USA,3D Systems,Cube 3,Yes,153x153x153,,FFF,$ 999.00,-
QSQM Corporation,China,QSQM Corporation,New Uncia ,Yes,102x77x180,,DLP,$ 999.00,1 week
Mbot-3D,China,Mbot-3D,MBot Grid II,Yes,250x220x190,,FFF,$ 999.00,2 weeks
Pirate 3D,Singapore,Pirate 3D,Buccaneer 3D printer,Yes,136x100x146,,FFF,$ 999.00,1-3 weeks
SeeMeCNC,USA,SeeMeCNC,Rostock MAX v2 3D Printer Kit,DIY kit,279x279x349,,FFF,$ 999.00,5 days
Reprapsource,Germany,Reprapsource,Prusa i3 Kit Single Frame Version,DIY kit,-,,FFF,"$ 1,062.00",2-3 weeks
MyMatics,Netherlands,MyMatics,Mamba3D,DIY kit,200x200x200,,FFF,"$ 1,095.00",in stock
mUVe 3D LLC,USA,mUVe 3D LLC,mUVe 1 3D Printer Classic,DIY kit,145x145x185,,SLA,"$ 1,099.00",2-3 weeks
3D Systems,USA,3D Systems,Cube ,Yes,152x152x152,,Plastic Jet Printing,"$ 1,099.00",Pre order
Weistek,China,Weistek,IdeaWerk Assembled,Yes,150x150x140,,FFF,"$ 1,099.00",-
Eckertech,Canada,Eckertech,ecksbot 2014 fully assembled,Yes,200x200x135,,FFF,"$ 1,120.00",1-2 weeks
"Hot Proceed, Inc",Japan,Hot Proceed,Blade-1,Yes,100x100x100,,FFF,"$ 1,120.00",-
IRapid,Germany,iRapid,IRAPID BLACK 3D-PRINTER,Yes,100x100x100,,FFF,"$ 1,125.00",In Stock
Dreammaker,China,Dreammaker,dreammaker,Yes,200x200x200,,FFF,"$ 1,142.00",in stock
Intelligent Machine Inc.,Taiwan,Intelligent Machine Inc.,Metalbot Metal RepRap compatible 3D printer,Yes,195x195x160 ,,FFF,"$ 1,190.00",-
3D Systems,USA,3D Systems,EKOCYCLE Cube,Yes,152x152x152,,FFF,"$ 1,199.00",-
Boots Industries,China,Boots Industries,BI V2.5 3D Printer,DIY kit,300x300,,FFF,"$ 1,199.00",in stock
Sharebot,Italy,Sharebot,Mounting Kit Pro ,DIY kit,200x200x200,,FFF,"$ 1,231.00",30 days
Ultimaker,Netherlands,Ultimaker Shop,Ultimaker Original ,DIY kit,210x210x205,,FFF,"$ 1,244.00",4-6 weeks
Tinkerine Studio,Canada,Tinkerine Studio,Ditto Plus 3D printer,DIY kit,210x185x230,,FFF,"$ 1,249.00",2-4 weeks
Sumpod,UK,Sumpod,Sumpod Aluminium,Yes,240x240x150,,FFF,"$ 1,286.00",sold out
Pryntech,USA,Pryntech,OpenSL v1.0,DIY kit,305x305x203,,SLA,"$ 1,295.00",out of stock
SeeMeCNC,USA,SeeMeCNC,ORION Delta 3D-printer,Yes,152(d)x203,,FFF,"$ 1,299.00",5 days
Tinkerine Studio,Canada,Tinkerine Studio,Litto 3D printer Assembled,Yes,135x120x175,,FFF,"$ 1,299.00",4-6 weeks
Deezmaker,USA,Deezmaker,Bukobot 8 v2 Kit X3,DIY kit,200x200x200,,FFF,"$ 1,299.00",1-2 weeks
Afinia,USA,Afinia,Afinia H-Series,Yes,140x140x135,,FFF,"$ 1,299.00",-
Piecemake,USA,Piecemake,Piecemake,Yes,178x178x178,,FFF,"$ 1,299.00",-
Printrbot,USA,Printrbot,Assembled Printrbot PLUS ,Yes,254x254x254,,FFF,"$ 1,299.00",2-3 weeks
