Manufacturer,Model,Mode,Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD),Availability
Click for Details,Aspect,RaFaEl 150 C-HT,,60,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, Rubber-like, PPS, PS",4.92,4.92,7.09,"$100,000 - $249,999",
Click for Details,Aspect,RaFaEl 150 F-HT,,60,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, Rubber-like, PPS, PS",4.92,4.92,7.09,"$100,000 - $249,999",
Click for Details,Aspect,RaFaEl 300 C,,60 or 100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, Rubber-like, PPS, PS",11.02,11.02,14.57,"$250,000 - $499,999",
Click for Details,Aspect,RaFaEl 300 F,,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, Rubber-like, PPS, PS",11.02,11.02,14.57,"$250,000 - $499,999",
Click for Details,Aspect,RaFaEl 550 C,,100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, Rubber-like, PPS, PS",19.69,19.69,18.9,"$500,000 - $999,999",
Click for Details,Aspect,RaFaEl 550 F,,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, Rubber-like, PPS, PS",19.69,19.69,18.9,"$500,000 - $999,999",
Click for Details,atum 3D,DLP Station 5,,,Vat Photopolymerization (e.g. SLA),Polymer,,7.56,4.25,9.84,"Less than $49,999",
Click for Details,Aurora Labs,S-Titanium Pro,,300,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Cobalt, Iron, Titanium, Bronze, Brass, Gold, Silver, Aluminum, Refractory Metal",7.87,7.87,19.685,"Less than $49,999",
Click for Details,BeAM,MAGIC 800,3-axis,2000,Directed Energy Deposition,Metal,"Titanium, Nickel",19.7,27.6,55.1,"Greater than $1,000,000",
Click for Details,BeAM,MAGIC 800,Continuous 5-axis (XYZ+BC),2000,Directed Energy Deposition,Metal,"Titanium, Nickel",47.2,31.5,31.5,"Greater than $1,000,000",
Click for Details,BeAM,Modulo 250,5-axis,500,Directed Energy Deposition,Metal,"Titanium, Nickel",15.7,9.8,11.81,"$250,000 - $499,999",
Click for Details,BeAM,Modulo 400,5 continuous axis,500,Directed Energy Deposition,Metal,,25.59,15,15.75,"Greater than $1,000,000",
Click for Details,Beijing Longyuan,AFS360,,50,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","Silicate, PS",14.2,14.2,19.7,"$50,000 - $99,999",
Click for Details,Beijing Longyuan,AFS500,,50,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","Silicate, PS",19.7,19.7,19.7,"$100,000 - $249,999",
Click for Details,Beijing Longyuan,AFS-D600,3 axis,1000-3000,Directed Energy Deposition,Metal,"Steel, Titanium, Cobalt, Nickel",23.62,15.74,11.81,Price not reported,
Click for Details,Beijing Longyuan,AFS-D800,3 axis,3000-6000,Directed Energy Deposition,Metal,"Steel, Titanium, Cobalt, Nickel, Aluminum, Refractory Metal, Cobalt, Bronze",35.43,35.43,27.56,Price not reported,
Click for Details,Beijing Longyuan,AFS-D800,5 axis,3000-6000,Directed Energy Deposition,Metal,"Steel, Titanium, Cobalt, Nickel, Aluminum, Refractory Metal, Cobalt, Bronze",35.43,35.43,27.56,Price not reported,
Click for Details,Beijing Longyuan,AFS-D800V,3 axis,3000-6000,Directed Energy Deposition,Metal,"Steel, Titanium, Cobalt, Nickel",31.49,23.62,19.68,Price not reported,
Click for Details,Beijing Longyuan,AFS-D800V,5 axis,3000-6000,Directed Energy Deposition,Metal,"Steel, Titanium, Cobalt, Nickel",31.49,23.62,19.68,Price not reported,
Click for Details,Beijing Longyuan,AFS-M120,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Titanium, Aluminum",4.72,4.72,5.91,"$250,000 - $499,999",
Click for Details,Beijing Longyuan,AFS-M120,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Titanium, Aluminum",4.72,4.72,5.91,"$250,000 - $499,999",
Click for Details,Beijing Longyuan,AFS-M260,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Nickel",10.23,10.23,13.77,"$250,000 - $499,999",
Click for Details,Beijing Longyuan,LaserCore-5100,,55,Powder Bed Fusion (e.g. SLS),"Polymer, Sand",,22,22,19.7,"$100,000 - $249,999",
Click for Details,Beijing Longyuan,LaserCore-5100,,100,Powder Bed Fusion (e.g. SLS),"Polymer, Sand",,22,22,19.7,"$100,000 - $249,999",
Click for Details,Beijing Longyuan,LaserCore-5300,,100,Powder Bed Fusion (e.g. SLS),"Polymer, Sand",,27.6,27.6,19.7,"$100,000 - $249,999",
Click for Details,Beijing Longyuan,LaserCore-7000,,100,Powder Bed Fusion (e.g. SLS),"Polymer, Sand",,55.11,27.6,19.7,"$100,000 - $249,999",
Click for Details,BigRep,BigRep ONE v3,,,Material Extrusion (e.g. FDM),Polymer,"PLA, PETG, PVA, Biopolymer",39.57,39.57,39.57,"Less than $49,999",
Click for Details,BigRep,BigRep Studio,,,Material Extrusion (e.g. FDM),Polymer,"PLA, CoPolymere, Laywood, Laybrick",19.7,39.4,19.7,Price not reported,
Click for Details,BlackBelt,BlackBelt 3D Printer,,,Material Extrusion (e.g. FDM),Polymer,,13.39,13.39,51.18,"Less than $49,999",
Click for Details,Carbon,Carbon M1,Type B Cassette,,Vat Photopolymerization (e.g. SLA),Polymer,,5.55,3.11,12.83,"$100,000 - $249,999",
Click for Details,Carbon,Carbon M2,,,Vat Photopolymerization (e.g. SLA),Polymer,Resin,7.44,4.64,12.83,"$100,000 - $249,999",
Click for Details,Carima,DM-200,Pixel Size: 100µm,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, Acrylic",7.87,4.33,9.84,"Less than $49,999",
Click for Details,Carima,DM-250,Pixel Size: 130µm,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, Acrylic",9.84,5.51,9.84,"Less than $49,999",
Click for Details,Carima,DS-131,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, Acrylic",5.12,2.87,5.12,"Less than $49,999",
Click for Details,Carima,IM-110,Pixel Size: 57µm,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, Acrylic",4.33,2.4,5.9,"Less than $49,999",
Click for Details,Carima,IM-96,Pixel Size: 50µm,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, Acrylic",3.77,2.12,5.9,"Less than $49,999",
Click for Details,Cincinnati Incorporated,603,,,Material Extrusion (e.g. FDM),"Polymer, Composite","ABS-Carbon, ABS-Glass, PC-Carbon, PC-Glass, PA-Carbon, PPSU-Carbon, PPS-Carbon, PEI-Carbon, PPE-Carbon, PPE-Glass, PEEK-Carbon,",140,65,36,"$500,000 - $999,999",
Click for Details,Cincinnati Incorporated,606,,,Material Extrusion (e.g. FDM),"Polymer, Composite","ABS-Carbon, ABS-Glass, PC-Carbon, PC-Glass, PA-Carbon, PPSU-Carbon, PPS-Carbon, PEI-Carbon, PPE-Carbon, PPE-Glass, PEEK-Carbon,",140,65,72,"$500,000 - $999,999",
Click for Details,Cincinnati Incorporated,608,,,Material Extrusion (e.g. FDM),"Polymer, Composite","ABS-Carbon, ABS-Glass, PC-Carbon, PC-Glass, PA-Carbon, PPSU-Carbon, PPS-Carbon, PEI-Carbon, PPE-Carbon, PPE-Glass, PEEK-Carbon,",140,65,98,"$500,000 - $999,999",
Click for Details,Cincinnati Incorporated,806,,,Material Extrusion (e.g. FDM),"Polymer, Composite","ABS-Carbon, ABS-Glass, PC-Carbon, PC-Glass, PA-Carbon, PPSU-Carbon, PPS-Carbon, PEI-Carbon, PPE-Carbon, PPE-Glass, PEEK-Carbon,",240,90,72,"Greater than $1,000,000",
Click for Details,Cincinnati Incorporated,SAAM,,,Material Extrusion (e.g. FDM),Polymer,PLA,7.9,7.4,9.4,Price not reported,
